frame,id,x,y,w,h,class_id,score,unique_ids_seen
60,1,279,556,181,78,2,0.694887,3
60,2,923,442,42,34,2,0.427628,3
61,0,1194,863,198,206,2,0.789405,3
61,1,279,556,179,78,2,0.665418,3
61,2,921,437,42,38,2,0.524206,3
62,0,1199,876,201,208,2,0.789405,3
62,1,279,557,179,78,2,0.665418,3
62,2,921,438,42,39,2,0.524206,3
63,0,1204,884,210,208,2,0.78935,3
63,1,279,559,179,75,2,0.601108,3
63,2,922,439,46,40,2,0.540861,3
64,0,1210,896,212,209,2,0.78935,4
64,1,325,541,144,68,2,0.416085,4
64,2,922,440,47,40,2,0.540861,4
64,3,1779,630,53,118,0,0.410168,4
65,0,1216,908,218,182,2,0.781173,4
65,1,335,536,138,67,2,0.416085,4
65,2,922,441,50,41,2,0.424537,4
65,3,1779,630,53,118,0,0.410168,4
66,0,1222,918,220,179,2,0.781173,4
66,1,295,558,165,70,2,0.635339,4
66,2,923,443,50,42,2,0.424537,4
66,3,1779,630,53,118,0,0.410168,4
67,0,1232,931,217,152,2,0.815175,4
67,1,293,559,166,70,2,0.635339,4
67,2,923,447,44,40,2,0.526618,4
67,3,1781,630,53,118,0,0.420283,4
68,0,1240,938,218,147,2,0.815175,4
68,1,281,564,177,72,2,0.635936,4
68,2,923,449,44,40,2,0.526618,4
68,3,1782,630,52,118,0,0.420283,4
69,0,1246,959,215,117,2,0.768181,4
69,1,278,567,179,72,2,0.635936,4
69,2,924,451,44,40,2,0.526618,4
69,3,1782,630,52,118,0,0.420283,4
70,0,1254,966,215,110,2,0.768181,4
70,1,279,565,182,75,2,0.594123,4
70,2,925,453,45,40,2,0.408623,4
70,3,1783,630,52,118,0,0.420283,4
71,0,1264,992,205,87,2,0.725288,4
71,1,277,567,184,75,2,0.594123,4
71,2,925,455,45,39,2,0.408623,4
71,3,1783,630,52,118,0,0.420283,4
72,0,1271,1000,203,80,2,0.725288,4
72,1,279,566,183,74,2,0.613524,4
72,2,925,459,43,38,2,0.470621,4
72,3,1784,629,52,118,0,0.420283,4
73,0,1291,1028,187,53,2,0.517594,4
73,1,278,567,184,74,2,0.613524,4
73,2,925,462,43,37,2,0.470621,4
73,3,1784,629,52,118,0,0.420283,4
